Entity,Code,Year,Cost of healthy diet (2017 USD per day)
Albania,ALB,2017,4.281675858
Algeria,DZA,2017,4.01711778
Angola,AGO,2017,4.582558116
Anguilla,AIA,2017,4.508903222
Antigua and Barbuda,ATG,2017,4.458330811
Argentina,ARG,2017,3.4968817
Armenia,ARM,2017,3.561060854
Aruba,ABW,2017,3.964441841
Australia,AUS,2017,2.270715631
Austria,AUT,2017,2.905280516
Azerbaijan,AZE,2017,2.805918933
Bahamas,BHS,2017,4.290752694
Bahrain,BHR,2017,4.55379047
Bangladesh,BGD,2017,3.441523122
Barbados,BRB,2017,5.891262376
Belarus,BLR,2017,4.061629992
Belgium,BEL,2017,2.876678049
Belize,BLZ,2017,2.913016384
Benin,BEN,2017,3.523153305
Bermuda,BMU,2017,3.733898606
Bhutan,BTN,2017,4.779471981
Bolivia,BOL,2017,3.758738978
Bonaire,,2017,3.612100225
Bosnia and Herzegovina,BIH,2017,4.284558679
Botswana,BWA,2017,3.958068766
Brazil,BRA,2017,2.807738164
British Virgin Islands,VGB,2017,3.962111215
Brunei,BRN,2017,4.98501209
Bulgaria,BGR,2017,4.167510318
Burkina Faso,BFA,2017,3.542036729
Burundi,BDI,2017,3.439233172
Cambodia,KHM,2017,4.518698266
Cameroon,CMR,2017,3.601684469
Canada,CAN,2017,2.976252719
Cape Verde,CPV,2017,3.364083781
Cayman Islands,CYM,2017,3.187522751
Central African Republic,CAF,2017,3.267034795
Chad,TCD,2017,3.216645812
Chile,CHL,2017,3.075040316
China,CHN,2017,3.608958352
Colombia,COL,2017,3.266096458
Comoros,COM,2017,3.357260846
Congo,COG,2017,3.876845836
Costa Rica,CRI,2017,3.879117852
Cote d'Ivoire,CIV,2017,2.889052155
Croatia,HRV,2017,4.373040879
Curacao,CUW,2017,3.243351262
Cyprus,CYP,2017,3.051524636
Czechia,CZE,2017,3.108033837
Democratic Republic of Congo,COD,2017,3.24618016
Denmark,DNK,2017,2.389893956
Djibouti,DJI,2017,3.540836588
Dominica,DMA,2017,4.154977707
Dominican Republic,DOM,2017,4.024191138
Ecuador,ECU,2017,3.182589661
Egypt,EGY,2017,4.148056121
El Salvador,SLV,2017,4.686519279
Equatorial Guinea,GNQ,2017,3.888462533
Estonia,EST,2017,3.287714057
Eswatini,SWZ,2017,3.202414589
Ethiopia,ETH,2017,3.647435865
Fiji,FJI,2017,3.955216302
Finland,FIN,2017,2.574301349
France,FRA,2017,2.994268773
Gabon,GAB,2017,3.759603537
Gambia,GMB,2017,3.849925952
Germany,DEU,2017,2.778415742
Ghana,GHA,2017,4.250567979
Greece,GRC,2017,3.085863011
Grenada,GRD,2017,5.791377998
Guinea,GIN,2017,4.147675709
Guinea-Bissau,GNB,2017,3.778343141
Guyana,GUY,2017,4.771648186
Haiti,HTI,2017,4.698406729
Honduras,HND,2017,3.649055412
Hong Kong,HKG,2017,4.778824779
Hungary,HUN,2017,3.721089004
Iceland,ISL,2017,2.386684087
India,IND,2017,3.219106537
Indonesia,IDN,2017,5.056987635
Iran,IRN,2017,3.459457249
Iraq,IRQ,2017,3.919958686
Ireland,IRL,2017,2.470563485
Israel,ISR,2017,2.675549201
Italy,ITA,2017,3.093535301
Jamaica,JAM,2017,5.497522295
Japan,JPN,2017,5.199124462
Jordan,JOR,2017,4.130602626
Kazakhstan,KAZ,2017,2.796565717
Kenya,KEN,2017,3.084440941
Kuwait,KWT,2017,3.940640544
Kyrgyzstan,KGZ,2017,3.641826927
Laos,LAO,2017,5.015950742
Latvia,LVA,2017,3.328510193
Lesotho,LSO,2017,4.189361766
Liberia,LBR,2017,5.066444218
Lithuania,LTU,2017,3.215128148
Luxembourg,LUX,2017,2.491222593
Madagascar,MDG,2017,3.45983533
Malawi,MWI,2017,2.703610821
Malaysia,MYS,2017,3.962462647
Maldives,MDV,2017,3.638542468
Mali,MLI,2017,3.25869826
Malta,MLT,2017,3.932199898
Mauritania,MRT,2017,4.429886868
Mauritius,MUS,2017,3.719799844
Mexico,MEX,2017,3.266979428
Moldova,MDA,2017,2.878004293
Mongolia,MNG,2017,4.610406534
Montenegro,MNE,2017,3.763333674
Montserrat,MSR,2017,5.582096415
Morocco,MAR,2017,2.889392766
Mozambique,MOZ,2017,3.488296239
Myanmar,MMR,2017,3.665605709
Namibia,NAM,2017,3.187241981
Nepal,NPL,2017,3.836645519
Netherlands,NLD,2017,2.768451443
New Zealand,NZL,2017,2.742694432
Nicaragua,NIC,2017,3.51918096
Niger,NER,2017,3.607580503
Nigeria,NGA,2017,3.388323049
North Macedonia,MKD,2017,3.690535055
Norway,NOR,2017,3.458190307
Oman,OMN,2017,3.419003808
Pakistan,PAK,2017,3.827949612
Palestine,PSE,2017,3.888489643
Panama,PAN,2017,4.876472158
Paraguay,PRY,2017,3.603425935
Peru,PER,2017,3.591001371
Philippines,PHL,2017,4.07534677
Poland,POL,2017,3.097216182
Portugal,PRT,2017,2.688893108
Qatar,QAT,2017,3.114980124
Romania,ROU,2017,3.306929619
Russia,RUS,2017,3.398629889
Rwanda,RWA,2017,3.607720503
Saint Kitts and Nevis,KNA,2017,3.303374697
Saint Lucia,LCA,2017,3.481056905
Saint Vincent and the Grenadines,VCT,2017,4.696051476
Sao Tome and Principe,STP,2017,3.2009921
Saudi Arabia,SAU,2017,4.113231444
Senegal,SEN,2017,3.178888156
Serbia,SRB,2017,4.336531784
Seychelles,SYC,2017,3.840847424
Sierra Leone,SLE,2017,2.770219681
Singapore,SGP,2017,3.361207015
Sint Maarten (Dutch part),SXM,2017,4.795366429
Slovakia,SVK,2017,3.333447784
Slovenia,SVN,2017,3.041276348
South Africa,ZAF,2017,4.276109309
South Korea,KOR,2017,4.860810844
Spain,ESP,2017,2.715095317
Sri Lanka,LKA,2017,4.050519973
Sudan,SDN,2017,4.232425264
Suriname,SUR,2017,5.129114155
Sweden,SWE,2017,2.889616398
Switzerland,CHE,2017,2.45778473
Taiwan,TWN,2017,5.045165569
Tajikistan,TJK,2017,3.217305785
Tanzania,TZA,2017,2.670800338
Thailand,THA,2017,5.012801356
Togo,TGO,2017,6.206968342
Trinidad and Tobago,TTO,2017,4.08868259
Tunisia,TUN,2017,3.447835621
Turkey,TUR,2017,3.440223518
Turks and Caicos Islands,TCA,2017,3.492283549
Uganda,UGA,2017,3.000061375
United Arab Emirates,ARE,2017,3.412668665
United Kingdom,GBR,2017,1.887692082
United States,USA,2017,2.974152331
Uruguay,URY,2017,2.961332191
Vietnam,VNM,2017,4.306775634
World,OWID_WRL,2017,3.687381768
Zambia,ZMB,2017,3.306079267
Zimbabwe,ZWE,2017,3.967124844