Entity,Code,Year,Healthy diet cost  (% cannot afford)
Albania,ALB,2017,42.00774
Algeria,DZA,2017,25.60362
Angola,AGO,2017,90.50985
Argentina,ARG,2017,8.5967
Armenia,ARM,2017,36.6346
Australia,AUS,2017,0.7444149
Austria,AUT,2017,0.5476114
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,77.60098
Belarus,BLR,2017,1.027703
Belgium,BEL,2017,0.292606
Belize,BLZ,2017,38.11414
Benin,BEN,2017,89.63388
Bhutan,BTN,2017,52.1443
Bolivia,BOL,2017,25.54418
Bosnia and Herzegovina,BIH,2017,3.633199
Botswana,BWA,2017,60.1921
Brazil,BRA,2017,12.98858
Bulgaria,BGR,2017,9.337595
Burkina Faso,BFA,2017,89.96324
Burundi,BDI,2017,97.167
Cameroon,CMR,2017,66.43285
Canada,CAN,2017,0.4973831
Cape Verde,CPV,2017,32.42308
Central African Republic,CAF,2017,93.04771
Chad,TCD,2017,83.21726
Chile,CHL,2017,1.807866
China,CHN,2017,17.94347
Colombia,COL,2017,22.39919
Comoros,COM,2017,60.2145
Congo,COG,2017,90.04419
Costa Rica,CRI,2017,10.59034
Cote d'Ivoire,CIV,2017,68.84484
Croatia,HRV,2017,5.311003
Cyprus,CYP,2017,0.05130247
Czechia,CZE,2017,0.188587
Democratic Republic of Congo,COD,2017,95.51018
Denmark,DNK,2017,0.1710614
Djibouti,DJI,2017,66.70957
Dominican Republic,DOM,2017,18.58065
Ecuador,ECU,2017,17.05914
Egypt,EGY,2017,75.18362
El Salvador,SLV,2017,41.0972
Estonia,EST,2017,0.7833411
Eswatini,SWZ,2017,66.43794
Ethiopia,ETH,2017,87.36121
Fiji,FJI,2017,28.74499
Finland,FIN,2017,0.09872849
France,FRA,2017,0.0396873
Gabon,GAB,2017,32.0472
Gambia,GMB,2017,73.06253
Germany,DEU,2017,0.2406784
Ghana,GHA,2017,60.90227
Greece,GRC,2017,2.895735
Guinea,GIN,2017,90.28445
Guinea-Bissau,GNB,2017,92.62132
Guyana,GUY,2017,39.30348
Haiti,HTI,2017,82.16744
Honduras,HND,2017,48.85315
Hungary,HUN,2017,3.021302
Iceland,ISL,2017,0.01792546
India,IND,2017,71.48567
Indonesia,IDN,2017,71.30388
Iran,IRN,2017,10.49139
Iraq,IRQ,2017,50.81578
Ireland,IRL,2017,0.3353735
Israel,ISR,2017,0.9977683
Italy,ITA,2017,2.472911
Jamaica,JAM,2017,52.39908
Japan,JPN,2017,1.616443
Jordan,JOR,2017,19.90089
Kazakhstan,KAZ,2017,1.16534
Kenya,KEN,2017,78.95827
Kyrgyzstan,KGZ,2017,57.584
Laos,LAO,2017,83.7078
Latvia,LVA,2017,2.62944
Lesotho,LSO,2017,76.94296
Liberia,LBR,2017,97.57058
Lithuania,LTU,2017,2.856601
Luxembourg,LUX,2017,0.4126038
Madagascar,MDG,2017,96.73974
Malawi,MWI,2017,92.84431
Malaysia,MYS,2017,2.754231
Maldives,MDV,2017,2.729918
Mali,MLI,2017,90.62164
Malta,MLT,2017,0.3113678
Mauritania,MRT,2017,68.03631
Mauritius,MUS,2017,12.04238
Mexico,MEX,2017,17.93763
Moldova,MDA,2017,4.655106
Mongolia,MNG,2017,43.16624
Montenegro,MNE,2017,14.87213
Morocco,MAR,2017,13.70442
Mozambique,MOZ,2017,90.62317
Myanmar,MMR,2017,51.92937
Namibia,NAM,2017,45.98487
Nepal,NPL,2017,72.0897
Netherlands,NLD,2017,0.3128131
Nicaragua,NIC,2017,27.84136
Niger,NER,2017,91.94135
Nigeria,NGA,2017,89.12486
North Macedonia,MKD,2017,18.23828
Norway,NOR,2017,0.4563593
Pakistan,PAK,2017,75.2726
Palestine,PSE,2017,23.77703
Panama,PAN,2017,19.78807
Paraguay,PRY,2017,15.44793
Peru,PER,2017,22.43048
Philippines,PHL,2017,64.24689
Poland,POL,2017,0.449238
Portugal,PRT,2017,0.9322764
Romania,ROU,2017,11.02077
Russia,RUS,2017,2.541048
Rwanda,RWA,2017,91.14971
Saint Lucia,LCA,2017,17.73234
Sao Tome and Principe,STP,2017,81.26451
Senegal,SEN,2017,77.24802
Serbia,SRB,2017,23.87022
Seychelles,SYC,2017,5.710876
Sierra Leone,SLE,2017,85.57656
Slovakia,SVK,2017,2.348883
Slovenia,SVN,2017,0.01920434
South Africa,ZAF,2017,61.10259
South Korea,KOR,2017,1.228063
Spain,ESP,2017,1.480493
Sri Lanka,LKA,2017,45.437
Sudan,SDN,2017,81.57917
Sweden,SWE,2017,0.3404294
Switzerland,CHE,2017,0.02182594
Tajikistan,TJK,2017,34.01277
Tanzania,TZA,2017,84.53875
Thailand,THA,2017,19.70135
Togo,TGO,2017,97.28955
Trinidad and Tobago,TTO,2017,7.340323
Tunisia,TUN,2017,13.31939
Turkey,TUR,2017,6.668437
Uganda,UGA,2017,81.69172
United Kingdom,GBR,2017,0.4246
United States,USA,2017,1.499683
Uruguay,URY,2017,1.307074
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,32.01523
Zambia,ZMB,2017,84.97017
Zimbabwe,ZWE,2017,82.59679